"study_id","site_id","core_id","year","month","day","latitude","longitude","position_accuracy","position_method","position_notes","salinity_class","salinity_method","vegetation_class","vegetation_method","vegetation_notes","inundation_class","inundation_method","core_length_flag","country","admin_division","habitat","stocks_qual_code","dates_qual_code","max_depth"
"Beers_et_al_2023","Isla_Popa","PO-F-2","2015","3","21",9.23156,-82.12135,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","fringe, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"415"
"Beers_et_al_2023","Isla_Popa","PO-F-3","2015","3","21",9.23167,-82.1213,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","fringe, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"377"
"Beers_et_al_2023","Isla_Popa","PO-D-4","2015","3","18",9.23143,-82.12164,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","dwarf, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"95"
"Beers_et_al_2023","Isla_Popa","PO-D-5","2015","3","18",9.23154,-82.12161,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","dwarf, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"127"
"Beers_et_al_2023","Isla_Popa","PO-D-6","2015","3","18",9.23156,-82.12173,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","dwarf, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"77"
"Beers_et_al_2023","Isla_Popa","PO-D-7","2015","3","18",9.23147,-82.12185,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","dwarf, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"77"
"Beers_et_al_2023","Isla_Popa","PO-S-1","2015","4","4",9.23373,-82.11985,"3","other low resolution",NA,"saline","measurement","seagrass","field observation","Thalassia testudinum","low","field observation","core depth limited by length of corer","Panama","Bocas del Toro","seagrass","C2",NA,"95"
"Beers_et_al_2023","Isla_Popa","PO-S-2","2015","4","4",9.23373,-82.11985,"3","other low resolution",NA,"saline","measurement","seagrass","field observation","Thalassia testudinum","low","field observation","core depth limited by length of corer","Panama","Bocas del Toro","seagrass","C2",NA,"37"
"Beers_et_al_2023","Isla_Popa","PO-S-3","2015","4","4",9.23373,-82.11985,"3","other low resolution",NA,"saline","measurement","seagrass","field observation","Thalassia testudinum","low","field observation","core depth limited by length of corer","Panama","Bocas del Toro","seagrass","C2",NA,"61"
"Beers_et_al_2023","Isla_Solarte","SOL-F-1","2015","3","12",9.30996,-82.20193,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","fringe, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"104"
"Beers_et_al_2023","Isla_Solarte","SOL-F-2","2015","3","12",9.31003,-82.20178,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","fringe, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"77"
"Beers_et_al_2023","Isla_Solarte","SOL-F-3","2015","3","12",9.30997,-82.20169,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","fringe, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"70"
"Beers_et_al_2023","Isla_Solarte","SOL-D-4","2015","3","13",9.31115,-82.20028,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","dwarf, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"42"
"Beers_et_al_2023","Isla_Solarte","SOL-D-5","2015","3","13",9.311,-82.20045,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","dwarf, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"82"
"Beers_et_al_2023","Isla_Solarte","SOL-D-6","2015","3","13",9.31107,-82.20054,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","dwarf, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"77"
"Carruthers_et_al_2005","Bahia_Almirante","Carruthers_et_al_2005_1",NA,NA,NA,9.331773,-82.319068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Panama","Bocas del Toro","seagrass",NA,NA,"10"
"Carruthers_et_al_2005","Laguna_de_Chiriqui_Panama","Carruthers_et_al_2005_2",NA,NA,NA,9.007419,-82.023899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Panama","Bocas del Toro","seagrass",NA,NA,"10"
"Carruthers_et_al_2005","Outer_Lagoon","Carruthers_et_al_2005_3",NA,NA,NA,9.221818,-82.023482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Panama","Bocas del Toro","seagrass",NA,NA,"10"
"Cifuentes_Unpublished","MCU Sierpe1","M0736","2012","3","7",8.818258796,-83.53426988,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Sierpe2","M0737","2012","3","7",8.814530027,-83.54374387,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Sierpe3","M0738","2012","3","7",8.814241926,-83.55880307,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Sierpe4","M0739","2012","3","7",8.80743436,-83.56216801,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Sierpe5","M0740","2012","3","7",8.797127441,-83.55525307,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Sierpe6","M0741","2012","3","7",8.802090003,-83.58087585,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Sierpe7","M0742","2012","3","7",8.789726334,-83.61536552,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Sierpe8","M0743","2012","3","7",8.801040216,-83.59125289,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Guarumal9","M0744","2012","3","7",8.856647652,-83.55970798,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Guarumal10","M0745","2012","3","7",8.855912236,-83.54906575,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Guarumal11","M0746","2012","3","7",8.859803544,-83.56526226,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Guarumal12","M0747","2012","3","7",8.863611019,-83.57763709,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Guarumal13","M0748","2012","3","7",8.839257569,-83.56291533,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Guarumal14","M0749","2012","3","7",8.849115189,-83.58110716,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Guarumal15","M0750","2012","3","7",8.844692625,-83.57555079,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Guarumal16","M0751","2012","3","7",8.843765687,-83.58083329,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Zacate17","M0752","2012","3","7",8.884906969,-83.5653801,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Zacate18","M0753","2012","3","7",8.876532405,-83.55656893,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Zacate19","M0754","2012","3","7",8.885416931,-83.56134893,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Zacate20","M0755","2012","3","7",8.894129795,-83.56374024,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Zacate21","M0756","2012","3","7",8.902283282,-83.56010908,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Zacate22","M0757","2012","3","7",8.891387807,-83.57363123,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Zacate23","M0758","2012","3","7",8.885447738,-83.57285635,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Zacate24","M0759","2012","3","7",8.884432917,-83.58000999,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Térraba25","M0760","2012","3","7",8.935316779,-83.612962,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Térraba26","M0761","2012","3","7",8.926068601,-83.61280416,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Térraba27","M0762","2012","3","7",8.933538125,-83.60578451,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU Térraba28","M0763","2012","3","7",8.932730483,-83.60741183,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_Unpublished","MCU NicoyaColorado","M0764","2014","3","7",10.14305195,-85.07767206,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"200"
"Cifuentes_Unpublished","MCU NicoyaBuenaventura","M0765","2014","3","7",10.16559049,-85.14657557,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Guanacaste","mangrove","C2",NA,"200"
"Cifuentes_Unpublished","MCU NicoyaNíspero","M0766","2014","3","7",10.17507684,-85.19369366,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Guanacaste","mangrove","C2",NA,"200"
"Cifuentes_Unpublished","MCU NicoyaBebedero","M0767","2014","3","7",10.25281155,-85.24883639,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Guanacaste","mangrove","C2",NA,"200"
"Cifuentes_Unpublished","MCU NicoyaJesús","M0768","2014","3","7",10.13402766,-85.24456028,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Guanacaste","mangrove","C2",NA,"200"
"Cifuentes_Unpublished","MCU NicoyaPuntarenas 1","M0769","2014","3","7",9.98592079,-84.81743661,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"200"
"Cifuentes_Unpublished","MCU NicoyaPuntarenas 2","M0770","2014","3","7",10.00047152,-84.85550677,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"200"
"Cifuentes_Unpublished","MCU NicoyaIsla Chira 1","M0771","2014","3","7",10.10631377,-85.14943931,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"200"
"Cifuentes_Unpublished","MCU NicoyaIsla Chira 2","M0772","2014","3","7",10.10090134,-85.12775331,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"200"
"Cifuentes_Unpublished","MCU NicoyaThiel 1","M0773","2014","3","7",10.08447159,-85.20061074,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Guanacaste","mangrove","C2",NA,"200"
"Cifuentes_Unpublished","MCU NicoyaThiel 2","M0774","2014","3","7",10.06552778,-85.18700408,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Guanacaste","mangrove","C2",NA,"200"
"Cifuentes_Unpublished","MCU NicoyaJicaral","M0775","2014","3","7",9.974631965,-85.11853433,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"200"
"Cifuentes_Unpublished","MCU NicoyaLepanto","M0776","2014","3","7",9.963786933,-85.03916044,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"200"
"Cifuentes_Unpublished","MCU NicoyaPaquera","M0777","2014","3","7",9.827680613,-84.92103989,NA,"other high resolution","exact",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"200"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_1_1","2012",NA,NA,8.818244473841052,-83.53396789071823,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_1_1","2012",NA,NA,8.884809241356098,-83.56559101139469,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_1_2","2012",NA,NA,8.884696492521874,-83.5658303593874,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_1_3","2012",NA,NA,8.884581496771782,-83.5660037915743,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_1_4","2012",NA,NA,8.884530692456885,-83.56624815814574,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_1_5","2012",NA,NA,8.884445692753578,-83.56640109750565,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_1_5","2012",NA,NA,8.857793890823816,-83.56001792005385,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_1_4","2012",NA,NA,8.857553246412374,-83.55999093143566,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_1_3","2012",NA,NA,8.857346519050408,-83.55989453437839,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_1_2","2012",NA,NA,8.857119508760123,-83.55985089221626,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_1_1","2012",NA,NA,8.85698509859892,-83.55981414049106,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_1_5","2012",NA,NA,8.817834465657322,-83.5332100746253,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_1_4","2012",NA,NA,8.817884972295658,-83.53339709381413,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_1_3","2012",NA,NA,8.81802063968863,-83.53364373091819,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_1_2","2012",NA,NA,8.818094253339147,-83.53387081045943,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_2_5","2012",NA,NA,8.854876190117377,-83.54842398725684,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_2_4","2012",NA,NA,8.855091283075522,-83.5485570054715,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_2_3","2012",NA,NA,8.855236235195258,-83.54871201965848,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_2_2","2012",NA,NA,8.855446820831293,-83.54878149446726,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_2_1","2012",NA,NA,8.855663894957853,-83.54890787391413,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_4_5","2012",NA,NA,8.86361720186079,-83.57876038200462,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_4_4","2012",NA,NA,8.863629034374627,-83.57850816537027,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_4_3","2012",NA,NA,8.863645700892949,-83.57829303726787,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_4_2","2012",NA,NA,8.863621673095244,-83.5780741370411,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_4_1","2012",NA,NA,8.86361133422089,-83.57780639892691,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_3_5","2012",NA,NA,8.859384251610182,-83.56638930256157,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_3_4","2012",NA,NA,8.859452772294954,-83.56613865886885,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_3_3","2012",NA,NA,8.859483648472446,-83.56594115395164,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_3_2","2012",NA,NA,8.859794581677468,-83.56568322525713,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_3_1","2012",NA,NA,8.85979283062384,-83.56549894119637,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_8_5","2012",NA,NA,8.842648809445517,-83.58098428103435,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_8_4","2012",NA,NA,8.84289134763803,-83.58092645997046,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
